source_record_id,brand,laptop_type,screen_size_inches,screen_size_normalized_from_cm,resolution,resolution_width,resolution_height,touchscreen,ips_panel,cpu,cpu_clock_ghz,ram_gb,gpu,hdd_gb,ssd_gb,flash_storage_gb,storage_total_gb,operating_system,weight_kg,reference_price,source_currency,reference_price_only,source_dataset
872bf15a5b6d0b08a264,Acer,2 in 1 Convertible,11.6,False,1920x1080,1920,1080,True,True,Intel Celeron Dual Core,2.0,4,Intel HD Graphics,0.0,0.0,32.0,32.0,Windows,1.25,234.29,unspecified,True,paperxd/laptop-prices-dataset
9ffeb6d239f6f4759d55,Acer,2 in 1 Convertible,11.6,False,1366x768,1366,768,True,True,Intel Celeron Dual Core,1.6,4,Intel HD Graphics,0.0,0.0,32.0,32.0,ChromeOS,1.25,261.15,unspecified,True,paperxd/laptop-prices-dataset
2c5ce1dc0dc5ae65631d,Acer,2 in 1 Convertible,11.6,False,1366x768,1366,768,True,True,Intel Celeron Quad Core,1.6,4,Intel HD Graphics,0.0,0.0,32.0,32.0,ChromeOS,1.25,254.43,unspecified,True,paperxd/laptop-prices-dataset
f5d5202bd2cc0a907031,Acer,2 in 1 Convertible,13.3,False,1920x1080,1920,1080,True,True,Intel Core i5,1.6,1,Intel UHD Graphics,0.0,256.0,0.0,256.0,Windows,1.6,670.66,unspecified,True,paperxd/laptop-prices-dataset
d2e5296eea9475fe386e,Acer,2 in 1 Convertible,13.3,False,1920x1080,1920,1080,True,True,Intel Core i5,2.3,8,Intel HD Graphics,0.0,256.0,0.0,256.0,Windows,1.6,462.54,unspecified,True,paperxd/laptop-prices-dataset
f62469fe850f74dab897,Acer,2 in 1 Convertible,13.3,False,1920x1080,1920,1080,True,True,Intel Core i5,1.6,8,Intel UHD Graphics,0.0,256.0,0.0,256.0,Windows,1.5,568.61,unspecified,True,paperxd/laptop-prices-dataset
79b48594464b004654a6,Acer,2 in 1 Convertible,13.3,False,1920x1080,1920,1080,True,True,Intel Core i7,2.5,8,Intel HD Graphics,0.0,256.0,0.0,256.0,Windows,1.6,529.68,unspecified,True,paperxd/laptop-prices-dataset
97ebff795dcd59e6a5e3,Acer,2 in 1 Convertible,14.0,False,1920x1080,1920,1080,True,True,Intel Core i7,1.3,8,Intel HD Graphics,0.0,256.0,0.0,256.0,Windows,1.2,771.36,unspecified,True,paperxd/laptop-prices-dataset
3d514f5da32083f4d80e,Acer,Gaming,15.6,False,1920x1080,1920,1080,False,False,Intel Core i5,2.5,8,Nvidia GeForce GTX,1000.0,0.0,0.0,1000.0,Linux,2.4,475.97,unspecified,True,paperxd/laptop-prices-dataset
291c3d1ff53a59b9ae96,Acer,Gaming,15.6,False,1920x1080,1920,1080,False,False,Intel Core i5,2.5,8,Nvidia GeForce GTX,1000.0,0.0,0.0,1000.0,Linux,2.4,535.72,unspecified,True,paperxd/laptop-prices-dataset
c723eb4f0985dff3697e,Acer,Gaming,15.6,False,1920x1080,1920,1080,False,True,Intel Core i5,2.5,8,Nvidia GeForce GTX,0.0,256.0,0.0,256.0,Windows,2.5,567.94,unspecified,True,paperxd/laptop-prices-dataset
462a970b8f0f2402164f,Acer,Gaming,15.6,False,1920x1080,1920,1080,False,False,Intel Core i5,2.5,16,Nvidia GeForce GTX,0.0,256.0,0.0,256.0,Windows,2.5,872.06,unspecified,True,paperxd/laptop-prices-dataset
847271e6ca12a67a13d7,Acer,Gaming,15.6,False,1920x1080,1920,1080,False,True,Intel Core i7,2.8,8,Nvidia GeForce GTX,1000.0,128.0,0.0,1128.0,Windows,2.7,845.87,unspecified,True,paperxd/laptop-prices-dataset
c66a3de2e4b426331796,Acer,Gaming,17.3,False,1920x1080,1920,1080,False,True,Intel Core i7,2.6,16,Nvidia GeForce GTX,1000.0,128.0,0.0,1128.0,Windows,4.2,1299.02,unspecified,True,paperxd/laptop-prices-dataset
861028a120edd20d3d8d,Acer,Gaming,17.3,False,1920x1080,1920,1080,False,True,Intel Core i7,2.8,16,Nvidia GeForce GTX,1000.0,256.0,0.0,1256.0,Windows,4.2,1543.38,unspecified,True,paperxd/laptop-prices-dataset
afbec327bdab943f2e30,Acer,Gaming,17.3,False,1920x1080,1920,1080,False,True,Intel Core i7,2.8,16,Nvidia GeForce GTX,1000.0,256.0,0.0,1256.0,Windows,4.2,1744.78,unspecified,True,paperxd/laptop-prices-dataset
e7339a4f5ac4482f0fdf,Acer,Netbook,11.6,False,1366x768,1366,768,False,False,Intel Celeron Dual Core,1.5,2,Intel HD Graphics,0.0,32.0,0.0,32.0,ChromeOS,1.3,116.81,unspecified,True,paperxd/laptop-prices-dataset
cc1677c81051c1be91eb,Acer,Netbook,11.6,False,1366x768,1366,768,False,False,Intel Celeron Dual Core,1.6,4,Intel HD Graphics,0.0,0.0,32.0,32.0,Windows,1.4,180.59,unspecified,True,paperxd/laptop-prices-dataset
